schema_version,picture_id,file,display_ms,caption_en,caption_zh,caption_zh_tr,caption_ja,caption_ja_tr,es_sentence,fr_sentence
1,pic_030,30.jpg,10000,The construction worker wears a hard hat and helps lift heavy materials.,建筑工人戴安全帽帮忙搬运重物。,Jiànzhù gōngrén dài ānquánmào bāngmáng bānyùn zhòngwù.,建設作業員はヘルメットをかぶり、重い資材の運搬を手伝います。,"Kensetsu sagyouin wa herumetto o kaburi, omoi shizai no unpan o tetsudaimasu.",El obrero lleva casco y ayuda a levantar materiales pesados.,L’ouvrier porte un casque et aide à soulever des matériaux lourds.
1,pic_031,31.jpg,10000,The salesperson helps a customer find the right size shoes in a store.,售货员帮助顾客在商店找合适尺码的鞋。,Shòuhuòyuán bāngzhù gùkè zài shāngdiàn zhǎo héshì chǐmǎ de xié.,販売員はお客様が店でちょうど良いサイズの靴を見つけるのを手伝います。,Hanbaiin wa okyakusama ga mise de choudo yoi saizu no kutsu o mitsukeru no o tetsudaimasu.,El vendedor ayuda a un cliente a encontrar el tamaño adecuado de zapatos en la tienda.,Le vendeur aide un client à trouver la bonne taille de chaussures dans un magasin.
1,pic_032,32.jpg,10000,The salesperson explains the features of a new smartphone to a shopper.,售货员向顾客介绍新款手机的功能。,Shòuhuòyuán xiàng gùkè jièshào xīnkuǎn shǒujī de gōngnéng.,販売員は買い物客に新しいスマートフォンの特徴を説明します。,Hanbaiin wa kaimono kyaku ni atarashii sumaatofon no tokuchou o setsumei shimasu.,El vendedor explica las características de un nuevo teléfono inteligente a un comprador.,Le vendeur explique les fonctionnalités d’un nouveau smartphone à un acheteur.
1,pic_033,33.jpg,10000,The office worker types emails at their desk in a busy office.,职员在繁忙的办公室桌前打邮件。,Zhíyuán zài fánmáng de bàngōngshì zhuō qián dǎ yóujiàn.,事務員は忙しいオフィスの机でメールを打ちます。,Jimuin wa isogashii ofisu no tsukue de meeru o uchimasu.,El oficinista escribe correos electrónicos en su escritorio en una oficina concurrida.,L’employé de bureau tape des e-mails à son bureau dans un bureau animé.
1,pic_034,34.jpg,10000,The office worker files documents in a cabinet after a meeting.,职员开完会后把文件归档到柜子里。,Zhíyuán kāi wán huì hòu bǎ wénjiàn guīdàng dào guìzi lǐ.,事務員は会議後、キャビネットに書類をファイリングします。,"Jimuin wa kaigi go, kyabinetto ni shorui o fairingu shimasu.",El oficinista archiva documentos en un armario después de una reunión.,L’employé de bureau classe les documents dans une armoire après une réunion.
1,pic_035,35.jpg,10000,The receptionist answers the phone and greets visitors at the front desk.,前台接电话并在前台迎接来访者。,Qiántái jiē diànhuà bìng zài qiántái yíngjiē láifǎng zhě.,受付係は電話に出て、フロントで来客を迎えます。,"Uketsukegakari wa denwa ni dete, furonto de raikyaku o mukaemasu.",La recepcionista contesta el teléfono y saluda a los visitantes en la recepción.,La réceptionniste répond au téléphone et accueille les visiteurs à la réception.
1,pic_036,36.jpg,10000,The receptionist schedules appointments for clients during the day.,前台白天为客户安排预约。,Qiántái báitiān wèi kèhù ānpái yùyuē.,受付係は日中にお客様の予約を手配します。,Uketsukegakari wa nichuu ni okyakusama no yoyaku o tehai shimasu.,La recepcionista agenda citas para los clientes durante el día.,La réceptionniste planifie des rendez-vous pour les clients pendant la journée.
1,pic_037,37.jpg,10000,The accountant checks financial statements and balances the company’s books.,会计检查财务报表并结算公司账目。,Kuàijì jiǎnchá cáiwù bàobiǎo bìng jiésuàn gōngsī zhàngmù.,会計士は財務諸表を確認し、会社の帳簿を合わせます。,"Kaikeishi wa zaimu shohyou o kakunin shi, kaisha no choubo o awasemasu.",El contador revisa los estados financieros y equilibra los libros de la empresa.,Le comptable vérifie les états financiers et équilibre les comptes de l’entreprise.
1,pic_038,38.jpg,10000,The accountant prepares tax returns for several small businesses.,会计为几家小企业准备报税表。,Kuàijì wèi jǐ jiā xiǎo qǐyè zhǔnbèi bàoshuì biǎo.,会計士は複数の小規模企業の確定申告書を作成します。,Kaikeishi wa fukusuu no shou-kibo kigyou no kakutei shinkokusho o sakusei shimasu.,El contador prepara las declaraciones de impuestos para varias pequeñas empresas.,Le comptable prépare les déclarations fiscales pour plusieurs petites entreprises.
1,pic_039,39.jpg,10000,The lawyer gives advice to a client about a legal problem.,律师为客户法律问题提供建议。,Lǜshī wèi kèhù fǎlǜ wèntí tígōng jiànyì.,弁護士はクライアントに法律問題についてアドバイスします。,Bengoshi wa kuraianto ni houritsu mondai ni tsuite adobaisu shimasu.,El abogado da consejo a un cliente sobre un problema legal.,L’avocat conseille un client sur un problème juridique.
1,pic_040,40.jpg,10000,The lawyer defends someone in court during a trial.,律师在法庭为某人辩护。,Lǜshī zài fǎtíng wèi mǒurén biànhù.,弁護士は裁判中に誰かを法廷で弁護します。,Bengoshi wa saiban-chuu ni dareka o houtei de bengo shimasu.,El abogado defiende a alguien en el tribunal durante un juicio.,L’avocat défend quelqu’un devant le tribunal lors d’un procès.
1,pic_041,41.jpg,10000,The manager leads a team meeting to discuss this month’s targets.,经理带领团队开会讨论本月目标。,Jīnglǐ dàilǐng tuánduì kāihuì tǎolùn běn yuè mùbiāo.,マネージャーはチーム会議を主導し、今月の目標について話し合います。,"Maneejaa wa chiimu kaigi o shudou shi, kongetsu no mokuhyou ni tsuite hanashiaimasu.",El gerente dirige una reunión de equipo para discutir los objetivos de este mes.,Le manager dirige une réunion d’équipe pour discuter des objectifs du mois.
1,pic_042,42.jpg,10000,The manager interviews a new candidate for a job opening.,经理面试新应聘者。,Jīnglǐ miànshì xīn yìngpìn zhě.,マネージャーは新しい応募者の面接をします。,Maneejaa wa atarashii oubosha no mensetsu o shimasu.,El gerente entrevista a un nuevo candidato para un puesto de trabajo.,Le manager passe un entretien avec un nouveau candidat pour un poste.
1,pic_043,43.jpg,10000,The scientist conducts an experiment in a laboratory.,科学家在实验室做实验。,Kēxuéjiā zài shíyànshì zuò shíyàn.,科学者は研究室で実験を行います。,Kagakusha wa kenkyuushitsu de jikken o okonaimasu.,El científico realiza un experimento en un laboratorio.,Le scientifique réalise une expérience dans un laboratoire.
1,pic_044,44.jpg,10000,The scientist gives a presentation on new research findings.,科学家做新研究成果的报告。,Kēxuéjiā zuò xīn yánjiū chéngguǒ de bàogào.,科学者は新しい研究結果について発表します。,Kagakusha wa atarashii kenkyuu kekka ni tsuite happyou shimasu.,El científico da una presentación sobre nuevos hallazgos de investigación.,Le scientifique fait une présentation sur de nouvelles découvertes de recherche.
1,pic_045,45.jpg,10000,The pharmacist fills prescriptions and explains how to take the medicine.,药剂师配药并解释如何服用。,Yàojìshī pèiyào bìng jiěshì rúhé fúyòng.,薬剤師は処方箋の薬を用意し、飲み方を説明します。,"Yakuzai-shi wa shohousen no kusuri o youi shi, nomikata o setsumei shimasu.",El farmacéutico dispensa recetas y explica cómo tomar la medicina.,Le pharmacien délivre des ordonnances et explique comment prendre le médicament.
1,pic_046,46.jpg,10000,The pharmacist organizes medicine on the shelves at the pharmacy.,药剂师在药店整理药品。,Yàojìshī zài yàodiàn zhěnglǐ yàopǐn.,薬剤師は薬局の棚に薬を整理します。,Yakuzai-shi wa yakkyoku no tana ni kusuri o seiri shimasu.,El farmacéutico organiza los medicamentos en los estantes de la farmacia.,Le pharmacien organise les médicaments sur les étagères de la pharmacie.
1,pic_047,47.jpg,10000,The dentist checks a patient’s teeth during a routine appointment.,牙医在例行检查时检查病人的牙齿。,Yáyī zài lìxíng jiǎnchá shí jiǎnchá bìngrén de yáchǐ.,歯医者は定期検診で患者の歯をチェックします。,Haisha wa teiki kenshin de kanja no ha o chekku shimasu.,El dentista revisa los dientes de un paciente durante una cita de rutina.,Le dentiste vérifie les dents d’un patient lors d’un rendez-vous de routine.
1,pic_048,48.jpg,10000,The dentist explains how to brush and floss properly to a child.,牙医向孩子讲解如何正确刷牙和使用牙线。,Yáyī xiàng háizi jiǎngjiě rúhé zhèngquè shuāyá hé shǐyòng yáxiàn.,歯医者は子供に正しい歯磨きとフロスの使い方を説明します。,Haisha wa kodomo ni tadashii hamigaki to furosu no tsukaikata o setsumei shimasu.,El dentista explica a un niño cómo cepillarse y usar el hilo dental correctamente.,Le dentiste explique à un enfant comment se brosser les dents et utiliser le fil dentaire correctement.
1,pic_049,49.jpg,10000,The farmer harvests vegetables early in the morning.,农民清晨采收蔬菜。,Nóngmín qīngchén cǎishōu shūcài.,農家は朝早く野菜を収穫します。,Nouka wa asa hayaku yasai o shuukaku shimasu.,El agricultor cosecha verduras temprano en la mañana.,L’agriculteur récolte des légumes tôt le matin.
1,pic_050,50.jpg,10000,The farmer feeds the animals on the farm before sunrise.,农民在日出前喂农场里的动物。,Nóngmín zài rìchū qián wèi nóngchǎng lǐ de dòngwù.,農家は日の出前に農場の動物に餌を与えます。,Nouka wa hinode mae ni noujou no doubutsu ni esa o ataemasu.,El agricultor alimenta a los animales de la granja antes del amanecer.,L’agriculteur nourrit les animaux de la ferme avant le lever du soleil.
1,pic_051,51.jpg,10000,The cleaner vacuums the floor in a hotel lobby.,清洁工在酒店大堂吸尘。,Qīngjiégōng zài jiǔdiàn dàtáng xīchén.,清掃員はホテルのロビーで床に掃除機をかけます。,Seisouin wa hoteru no robii de yuka ni soujiki o kakemasu.,El limpiador pasa la aspiradora en el piso del vestíbulo de un hotel.,Le nettoyeur passe l’aspirateur sur le sol du hall d’un hôtel.
1,pic_052,52.jpg,10000,The cleaner wipes windows and keeps the office tidy.,清洁工擦窗户并保持办公室整洁。,Qīngjiégōng cā chuānghù bìng bǎochí bàngōngshì zhěngjié.,清掃員は窓を拭き、オフィスをきれいに保ちます。,"Seisouin wa mado o fuki, ofisu o kirei ni tamochimasu.",El limpiador limpia las ventanas y mantiene la oficina ordenada.,Le nettoyeur nettoie les fenêtres et garde le bureau propre.
1,pic_053,53.jpg,10000,The hairdresser cuts and styles a customer’s hair in a salon.,理发师在美发沙龙为顾客理发造型。,Lǐfàshī zài měifà shālóng wèi gùkè lǐfà zàoxíng.,美容師はサロンでお客様の髪を切ってセットします。,Biyoushi wa saron de okyakusama no kami o kitte setto shimasu.,El peluquero corta y peina el cabello de un cliente en el salón.,Le coiffeur coupe et coiffe les cheveux d’un client dans un salon.
1,pic_054,54.jpg,10000,The hairdresser gives advice on hair care to a client.,理发师为顾客提供护发建议。,Lǐfàshī wèi gùkè tígōng hùfà jiànyì.,美容師はお客様にヘアケアのアドバイスをします。,Biyoushi wa okyakusama ni heakea no adobaisu o shimasu.,El peluquero da consejos sobre el cuidado del cabello a un cliente.,Le coiffeur donne des conseils sur les soins capillaires à un client.
1,pic_055,55.jpg,10000,The artist paints a landscape in their sunny studio.,艺术家在阳光明媚的工作室画风景。,Yìshùjiā zài yángguāng míngmèi de gōngzuòshì huà fēngjǐng.,芸術家は明るいアトリエで風景画を描きます。,Geijutsuka wa akarui atorie de fuukeiga o kakimasu.,El artista pinta un paisaje en su estudio soleado.,L’artiste peint un paysage dans son atelier ensoleillé.
1,pic_056,56.jpg,10000,The artist prepares their latest work for an exhibition.,艺术家为展览准备最新作品。,Yìshùjiā wèi zhǎnlǎn zhǔnbèi zuìxīn zuòpǐn.,芸術家は最新作を展覧会のために準備します。,Geijutsuka wa saishinsaku o tenrankai no tame ni junbi shimasu.,El artista prepara su última obra para una exposición.,L’artiste prépare sa dernière œuvre pour une exposition.
1,pic_057,57.jpg,10000,The musician practices playing the guitar before a concert.,音乐家在音乐会前练习吉他。,Yīnyuèjiā zài yīnyuèhuì qián liànxí jítā.,音楽家はコンサートの前にギターを練習します。,Ongakuka wa konsaato no mae ni gitaa o renshuu shimasu.,El músico practica tocar la guitarra antes de un concierto.,Le musicien s’entraîne à jouer de la guitare avant un concert.
1,pic_058,58.jpg,10000,The musician writes new songs in their home studio.,音乐家在家工作室创作新歌。,Yīnyuèjiā zài jiā gōngzuòshì chuàngzuò xīngē.,音楽家は自宅のスタジオで新しい曲を書きます。,Ongakuka wa jitaku no sutajio de atarashii kyoku o kakimasu.,El músico escribe nuevas canciones en su estudio en casa.,Le musicien écrit de nouvelles chansons dans son studio à domicile.
1,pic_059,59.jpg,10000,The security guard checks people’s bags at the entrance of a mall.,保安在商场入口检查人们的包。,Bǎo'ān zài shāngchǎng rùkǒu jiǎnchá rénmen de bāo.,警備員はショッピングモールの入口で人々のカバンをチェックします。,Keibiin wa shoppingu mooru no iriguchi de hitobito no kaban o chekku shimasu.,El guardia de seguridad revisa las bolsas de las personas en la entrada de un centro comercial.,Le gardien de sécurité vérifie les sacs des gens à l’entrée d’un centre commercial.
1,pic_060,60.jpg,10000,The security guard patrols the building at night to ensure safety.,保安夜间巡逻大楼以确保安全。,Bǎo'ān yèjiān xúnluó dàlóu yǐ quèbǎo ānquán.,警備員は夜に建物を巡回し、安全を確保します。,"Keibiin wa yoru ni tatemono o junkai shi, anzen o kakuho shimasu.",El guardia de seguridad patrulla el edificio por la noche para garantizar la seguridad.,Le gardien de sécurité patrouille le bâtiment la nuit pour assurer la sécurité.
1,pic_061,61.jpg,10000,A bustling Tokyo street at dusk with neon signs reflecting off wet pavement.,黄昏时东京繁忙的街道，霓虹灯倒映在湿润的路面上。,"Huánghūn shí Dōngjīng fánmáng de jiēdào, níhóngdēng dǎoyìng zài shīrùn de lùmiàn shàng.",夕暮れ時の東京の賑やかな通り、ネオンが濡れた舗道に映っている。,"Yuugure toki no Toukyou no nigiyaka na toori, neon ga nureta hodou ni utsutte iru.",Una bulliciosa calle de Tokio al anochecer con letreros de neón reflejados en el pavimento mojado.,Une rue animée de Tokyo au crépuscule avec des enseignes au néon se reflétant sur le trottoir mouillé.
1,pic_062,62.jpg,10000,A narrow alley in Rome lined with scooters and laundry hanging overhead.,罗马一条狭窄的小巷，停着摩托车，上方挂着晾晒的衣物。,"Luómǎ yì tiáo xiázhǎi de xiǎoxiàng, tíng zhe mótuōchē, shàngfāng guàzhe liàngshài de yīwù.",ローマの細い路地にはスクーターと頭上に干された洗濯物が並んでいる。,Rouma no hosoi roji ni wa sukuutaa to zujou ni hosareta sentakumono ga narande iru.,Un callejón estrecho en Roma lleno de scooters y ropa tendida arriba.,Une ruelle étroite à Rome bordée de scooters et de linge suspendu au-dessus.
1,pic_063,63.jpg,10000,An Old Havana boulevard with brightly colored classic cars and palm trees.,哈瓦那老街，五颜六色的老式轿车和棕榈树。,"Hāwǎnà lǎo jiē, wǔyán liùsè de lǎoshì jiàochē hé zōnglǘ shù.",ハバナの古い大通りにはカラフルなクラシックカーとヤシの木が並んでいる。,Habana no furui oodoori ni wa karafuru na kurashikku kaa to yashi no ki ga narande iru.,Un bulevar de la Habana Vieja con autos clásicos coloridos y palmeras.,Un boulevard de la Vieille Havane avec des voitures anciennes colorées et des palmiers.
1,pic_064,64.jpg,10000,A busy Mumbai intersection filled with auto rickshaws and vendors.,孟买繁忙路口，挤满了自动人力车和小贩。,"Mèngmǎi fánmáng lùkǒu, jǐ mǎnle zìdòng rénlìchē hé xiǎofàn.",ムンバイの賑やかな交差点はオートリキシャと屋台で溢れている。,Munbai no nigiyaka na kousaten wa ootorikisha to yatai de afurete iru.,Un cruce ocupado en Mumbai lleno de rickshaws y vendedores ambulantes.,Un carrefour animé à Mumbai rempli d’auto rickshaws et de vendeurs ambulants.
