schema_version,sentence_id,word_id,difficulty,base_en,base_audio_ms,zh_sentence,ja_sentence,es_sentence,fr_sentence,en_sentence,zh_tr,ja_tr
1,sent_045,w_045,A1,your demonstrate,921,新证明,実証するは小さい,gran demostrar,démontrer très bien,your demonstrate,xīn zhèngmíng,jisshou suru wa ōkii
1,sent_046,w_046,A1,big phenomenon,881,现象在这里,現象があります,gran fenómeno,j'aime phénomène,big phenomenon,xiànxiàng hěn měi,genshou wa chiisai
1,sent_047,w_047,A1,big comprehensive,1024,大全面的,あなたの包括的,comprensivo muy bien,vieux compréhensif,big comprehensive,quánmiàn de bùcuò,houkatsuteki ga arimasu
1,sent_048,w_048,A1,your fundamental,1128,小基本的,基本的は古い,me gusta fundamental,nouveau fondamental,your fundamental,dà jīběn de,kihonteki wa chiisai
1,sent_049,w_049,A1,constitute is good,1633,我的构成,私の構成する,me gusta constituir,constituer est bon,constitute is good,wǒ xǐhuān gòuchéng,anata no kousei suru
1,sent_050,w_050,A1,small paradigm,824,我的范式,パラダイムがいい,tu paradigma,petit paradigme,small paradigm,dà fànshì,paradaimu wa furui
1,sent_051,w_051,A1,small eat,1962,我喜欢吃,食べるがいい,comer aquí ahora,manger est bon,small eat,chī zài zhèlǐ,taberu wa furui
1,sent_052,w_052,A1,old water,1591,小水,あなたの水,agua es bueno,eau très bien,old water,xiǎo shuǐ,mizu wa furui
1,sent_053,w_053,A1,old house,1171,房子很美,家があります,pequeño casa,maison ici maintenant,old house,fángzi zài zhèlǐ,anata no ie
1,sent_054,w_054,A1,big is good,1264,小大,大きいがいい,gran grande,grand est bon,big is good,dà bùcuò,ookii wa ōkii
1,sent_055,w_055,A1,new happy,1364,高兴在这里,嬉しいは大きい,feliz es bueno,nouveau heureux,new happy,gāoxìng zài zhèlǐ,ureshii ga ii
1,sent_056,w_056,A1,book very nice,1128,书不错,本は大きい,me gusta libro,j'aime livre,book very nice,shū hěn hǎo,watashi no hon
1,sent_057,w_057,A1,I like study,1728,新学习,勉強するです,nuevo estudiar,étudier est bon,I like study,xīn xuéxí,benkyou suru desu
1,sent_058,w_058,A1,your beautiful,1317,美丽在这里,美しいを食べる,hermoso muy bien,j'aime beau,your beautiful,xīn měilì,utsukushii ga ii
1,sent_059,w_059,A1,old important,1891,重要很美,重要は小さい,me gusta importante,nouveau important,old important,zhòngyào hěn měi,juuyou desu
1,sent_060,w_060,A1,understand very nice,1283,你的理解,理解するがいい,tu entender,grand comprendre,understand very nice,lǐjiě hěn hǎo,rikai suru desu
1,sent_061,w_061,A1,new environment,1430,环境很好,環境は古い,medio ambiente aquí ahora,nouveau environnement,new environment,xīn huánjìng,anata no kankyou
1,sent_062,w_062,A1,small develop,1271,我的发展,あなたの発展する,desarrollar muy bien,votre développer,small develop,nǐ de fāzhǎn,hatten suru ga ii
1,sent_063,w_063,A1,big society,1389,小社会,社会は新しい,sociedad aquí ahora,société très bien,big society,wǒ de shèhuì,shakai wa ōkii
1,sent_064,w_064,A1,culture is good,1361,文化很美,文化は大きい,gran cultura,vieux culture,culture is good,dà wénhuà,bunka wa ōkii
1,sent_065,w_065,A1,my experience,1486,经验在这里,経験は新しい,mi experiencia,nouveau expérience,my experience,jīngyàn hěn měi,watashi no keiken
1,sent_066,w_066,A1,significant very nice,1099,小重要的,私の重要な,significativo aquí ahora,grand significatif,significant very nice,xīn zhòngyào de,juuyou na wa chiisai
1,sent_067,w_067,A1,big analyze,978,你的分析,分析するは古い,me gusta analizar,petit analyser,big analyze,wǒ de fēnxī,watashi no bunseki suru
1,sent_068,w_068,A1,new complex,1779,新复杂,複雑は新しい,complejo es bueno,complexe est bon,new complex,xiǎo fùzá,watashi no fukuzatsu
1,sent_069,w_069,A1,my influence,1476,小影响,影響するは新しい,me gusta influir,votre influencer,my influence,wǒ de yǐngxiǎng,eikyou suru wa chiisai
1,sent_070,w_070,A1,your demonstrate,1617,我的证明,実証するは小さい,tu demostrar,démontrer est bon,your demonstrate,zhèngmíng bùcuò,jisshou suru wo taberu
1,sent_071,w_071,A1,your phenomenon,1295,现象在这里,現象を食べる,me gusta fenómeno,petit phénomène,your phenomenon,wǒ de xiànxiàng,anata no genshou
1,sent_072,w_072,A1,my comprehensive,1550,新全面的,あなたの包括的,tu comprensivo,j'aime compréhensif,my comprehensive,dà quánmiàn de,houkatsuteki ga arimasu
1,sent_073,w_073,A1,fundamental here now,1090,小基本的,基本的があります,viejo fundamental,vieux fondamental,fundamental here now,xiǎo jīběn de,kihonteki wa atarashii
1,sent_074,w_074,A1,constitute here now,1071,小构成,構成するを食べる,viejo constituir,mon constituer,constitute here now,xiǎo gòuchéng,kousei suru desu
1,sent_075,w_075,A1,old paradigm,1759,大范式,パラダイムがいい,mi paradigma,paradigme très bien,old paradigm,fànshì hěn hǎo,paradaimu wa chiisai
1,sent_076,w_076,A1,eat here now,1591,大吃,あなたの食べる,tu comer,manger très bien,eat here now,dà chī,taberu ga ii
1,sent_077,w_077,A1,big water,1504,水不错,私の水,pequeño agua,eau très bien,big water,xiǎo shuǐ,mizu wo taberu
1,sent_078,w_078,A1,new house,1440,房子不错,家を食べる,nuevo casa,maison est bon,new house,xiǎo fángzi,ie wa ōkii
1,sent_079,w_079,A1,new big,842,我的大,私の大きい,grande muy bien,mon grand,new big,dà hěn hǎo,ookii wa furui
1,sent_080,w_080,A1,small happy,1545,高兴很好,嬉しいは新しい,gran feliz,votre heureux,small happy,wǒ de gāoxìng,anata no ureshii
1,sent_081,w_081,A1,book here now,1883,你的书,本は小さい,viejo libro,petit livre,book here now,shū bùcuò,hon ga arimasu
1,sent_082,w_082,A1,I like study,1791,小学习,勉強するは大きい,estudiar muy bien,petit étudier,I like study,xiǎo xuéxí,benkyou suru wa furui
1,sent_083,w_083,A1,beautiful very nice,958,我喜欢美丽,美しいがあります,hermoso es bueno,petit beau,beautiful very nice,nǐ de měilì,watashi no utsukushii
1,sent_084,w_084,A1,I like important,1560,我的重要,重要は小さい,importante muy bien,vieux important,I like important,zhòngyào hěn hǎo,juuyou wa atarashii
1,sent_085,w_085,A1,old understand,1376,理解很美,理解するは新しい,me gusta entender,comprendre très bien,old understand,wǒ de lǐjiě,rikai suru ga ii
1,sent_086,w_086,A1,environment here now,1179,环境很好,環境を食べる,gran medio ambiente,j'aime environnement,environment here now,nǐ de huánjìng,kankyou wa ōkii
1,sent_087,w_087,A1,your develop,1918,我的发展,発展するは新しい,pequeño desarrollar,votre développer,your develop,fāzhǎn zài zhèlǐ,hatten suru ga arimasu
1,sent_088,w_088,A1,big society,948,小社会,社会は新しい,me gusta sociedad,mon société,big society,shèhuì hěn měi,shakai wo taberu
1,sent_089,w_089,A1,old culture,1306,文化在这里,あなたの文化,mi cultura,culture très bien,old culture,xīn wénhuà,bunka wo taberu
1,sent_090,w_090,A1,experience here now,1016,经验很美,経験は新しい,gran experiencia,petit expérience,experience here now,xiǎo jīngyàn,keiken wa chiisai
1,sent_091,w_091,A1,my significant,1499,重要的很好,重要なは古い,viejo significativo,vieux significatif,my significant,zhòngyào de bùcuò,juuyou na wo taberu
1,sent_092,w_092,A1,analyze is good,1255,你的分析,分析するがいい,tu analizar,nouveau analyser,analyze is good,wǒ xǐhuān fēnxī,bunseki suru wa ōkii
1,sent_093,w_093,A1,I like complex,1326,小复杂,複雑です,mi complejo,vieux complexe,I like complex,nǐ de fùzá,anata no fukuzatsu
1,sent_094,w_094,A1,your influence,1852,影响很美,あなたの影響する,viejo influir,influencer ici maintenant,your influence,yǐngxiǎng hěn měi,eikyou suru wa atarashii
1,sent_095,w_095,A1,your demonstrate,1668,小证明,実証するを食べる,nuevo demostrar,mon démontrer,your demonstrate,wǒ de zhèngmíng,jisshou suru wo taberu
1,sent_096,w_096,A1,new phenomenon,1528,现象不错,現象は小さい,fenómeno es bueno,vieux phénomène,new phenomenon,xiànxiàng zài zhèlǐ,genshou desu
1,sent_097,w_097,A1,comprehensive is good,1882,全面的不错,包括的は小さい,gran comprensivo,compréhensif très bien,comprehensive is good,wǒ de quánmiàn de,houkatsuteki ga arimasu
1,sent_098,w_098,A1,I like fundamental,1111,基本的很美,基本的は新しい,mi fundamental,nouveau fondamental,I like fundamental,jīběn de hěn hǎo,kihonteki desu
1,sent_099,w_099,A1,new constitute,1281,大构成,構成するを食べる,mi constituir,constituer est bon,new constitute,wǒ de gòuchéng,kousei suru ga arimasu
1,sent_100,w_100,A1,big paradigm,949,小范式,パラダイムを食べる,pequeño paradigma,petit paradigme,big paradigm,fànshì zài zhèlǐ,paradaimu ga ii
1,sent_101,w_101,A1,old eat,1538,新吃,あなたの食べる,comer es bueno,petit manger,old eat,chī hěn měi,anata no taberu
1,sent_102,w_102,A1,my water,1270,大水,水は大きい,mi agua,eau très bien,my water,dà shuǐ,watashi no mizu
1,sent_103,w_103,A1,I like house,1869,我的房子,家は小さい,casa aquí ahora,j'aime maison,I like house,fángzi bùcuò,ie wo taberu
1,sent_104,w_104,A1,your big,827,大大,大きいは小さい,me gusta grande,grand est bon,your big,wǒ de dà,ookii wo taberu
1,sent_105,w_105,A1,happy here now,1028,高兴很美,あなたの嬉しい,pequeño feliz,heureux ici maintenant,happy here now,gāoxìng hěn hǎo,ureshii ga arimasu
1,sent_106,w_106,A1,book very nice,1546,书很好,本は大きい,libro muy bien,petit livre,book very nice,wǒ xǐhuān shū,anata no hon
1,sent_107,w_107,A1,study here now,881,新学习,勉強するは新しい,estudiar aquí ahora,votre étudier,study here now,xuéxí zài zhèlǐ,watashi no benkyou suru
1,sent_108,w_108,A1,I like beautiful,1219,大美丽,あなたの美しい,nuevo hermoso,vieux beau,I like beautiful,wǒ de měilì,utsukushii wa chiisai
1,sent_109,w_109,A1,important very nice,1825,小重要,重要を食べる,gran importante,votre important,important very nice,xiǎo zhòngyào,watashi no juuyou
1,sent_110,w_110,A1,old understand,1337,新理解,理解するは大きい,viejo entender,votre comprendre,old understand,lǐjiě zài zhèlǐ,rikai suru wo taberu
1,sent_111,w_111,A1,my environment,1313,环境在这里,環境は新しい,mi medio ambiente,votre environnement,my environment,xīn huánjìng,kankyou wa furui
1,sent_112,w_112,A1,my develop,1087,发展不错,発展するは大きい,nuevo desarrollar,grand développer,my develop,fāzhǎn hěn měi,hatten suru wa atarashii
1,sent_113,w_113,A1,old society,1001,社会很好,社会です,pequeño sociedad,société ici maintenant,old society,shèhuì zài zhèlǐ,watashi no shakai
1,sent_114,w_114,A1,small culture,836,文化很好,文化は新しい,pequeño cultura,culture est bon,small culture,wénhuà hěn hǎo,bunka wa chiisai
1,sent_115,w_115,A1,experience here now,948,大经验,経験です,tu experiencia,petit expérience,experience here now,xiǎo jīngyàn,watashi no keiken
1,sent_116,w_116,A1,old significant,1440,重要的不错,重要なは新しい,significativo es bueno,significatif est bon,old significant,wǒ de zhòngyào de,juuyou na wo taberu
1,sent_117,w_117,A1,new analyze,871,分析在这里,分析するは小さい,tu analizar,nouveau analyser,new analyze,xiǎo fēnxī,bunseki suru wa atarashii
1,sent_118,w_118,A1,small complex,1158,复杂很好,複雑は新しい,tu complejo,complexe ici maintenant,small complex,fùzá bùcuò,fukuzatsu wa furui
1,sent_119,w_119,A1,I like influence,1836,我喜欢影响,影響するは大きい,influir muy bien,influencer très bien,I like influence,nǐ de yǐngxiǎng,anata no eikyou suru
1,sent_120,w_120,A1,demonstrate here now,931,我喜欢证明,実証するがいい,mi demostrar,vieux démontrer,demonstrate here now,zhèngmíng zài zhèlǐ,jisshou suru wa ōkii
1,sent_121,w_121,A1,big phenomenon,821,现象不错,現象は小さい,tu fenómeno,mon phénomène,big phenomenon,xiànxiàng hěn měi,genshou wa atarashii
1,sent_122,w_122,A1,comprehensive is good,1527,我喜欢全面的,包括的は大きい,nuevo comprensivo,nouveau compréhensif,comprehensive is good,quánmiàn de hěn hǎo,anata no houkatsuteki
1,sent_123,w_123,A1,new fundamental,1063,你的基本的,私の基本的,mi fundamental,fondamental très bien,new fundamental,jīběn de hěn měi,kihonteki wa furui
1,sent_124,w_124,A1,small constitute,870,小构成,構成するです,mi constituir,constituer très bien,small constitute,wǒ de gòuchéng,anata no kousei suru
1,sent_125,w_125,A1,paradigm is good,1349,我喜欢范式,パラダイムがあります,me gusta paradigma,vieux paradigme,paradigm is good,fànshì bùcuò,paradaimu wa atarashii
1,sent_126,w_126,A1,old eat,1099,吃不错,食べるは新しい,comer muy bien,votre manger,old eat,xiǎo chī,taberu wo taberu
1,sent_127,w_127,A1,my water,822,大水,水があります,agua aquí ahora,grand eau,my water,wǒ de shuǐ,mizu ga arimasu
1,sent_128,w_128,A1,house is good,1731,我的房子,家があります,pequeño casa,maison très bien,house is good,fángzi hěn měi,ie wo taberu
1,sent_129,w_129,A1,big very nice,980,大不错,あなたの大きい,viejo grande,mon grand,big very nice,nǐ de dà,ookii desu
1,sent_130,w_130,A1,happy here now,1509,大高兴,嬉しいがいい,feliz aquí ahora,petit heureux,happy here now,nǐ de gāoxìng,watashi no ureshii
1,sent_131,w_131,A1,my book,1610,书很好,私の本,gran libro,livre très bien,my book,shū bùcuò,anata no hon
1,sent_132,w_132,A1,I like study,813,我的学习,勉強するがあります,estudiar aquí ahora,étudier ici maintenant,I like study,xuéxí hěn hǎo,benkyou suru wo taberu
1,sent_133,w_133,A1,beautiful is good,1613,你的美丽,美しいがあります,me gusta hermoso,beau très bien,beautiful is good,měilì hěn hǎo,utsukushii desu
1,sent_134,w_134,A1,old important,908,小重要,重要は古い,importante aquí ahora,important très bien,old important,wǒ xǐhuān zhòngyào,watashi no juuyou
1,sent_135,w_135,A1,your understand,1368,我喜欢理解,私の理解する,me gusta entender,petit comprendre,your understand,lǐjiě hěn hǎo,anata no rikai suru
1,sent_136,w_136,A1,big environment,1263,新环境,環境があります,viejo medio ambiente,mon environnement,big environment,huánjìng hěn měi,kankyou wa furui
1,sent_137,w_137,A1,small develop,1065,我喜欢发展,発展するを食べる,desarrollar muy bien,j'aime développer,small develop,fāzhǎn hěn měi,hatten suru wa chiisai
1,sent_138,w_138,A1,my society,1747,我喜欢社会,私の社会,me gusta sociedad,grand société,my society,shèhuì hěn měi,shakai desu
1,sent_139,w_139,A1,big culture,1392,大文化,文化があります,viejo cultura,nouveau culture,big culture,wénhuà zài zhèlǐ,bunka ga ii
1,sent_140,w_140,A1,experience very nice,1671,经验很美,あなたの経験,tu experiencia,expérience est bon,experience very nice,xīn jīngyàn,keiken wa atarashii
1,sent_141,w_141,A1,my significant,1245,新重要的,重要なは小さい,gran significativo,vieux significatif,my significant,zhòngyào de bùcuò,juuyou na ga ii
1,sent_142,w_142,A1,I like analyze,1330,小分析,分析するは古い,pequeño analizar,analyser très bien,I like analyze,xiǎo fēnxī,bunseki suru wa furui
1,sent_143,w_143,A1,your complex,1414,我的复杂,複雑がいい,complejo es bueno,j'aime complexe,your complex,wǒ de fùzá,anata no fukuzatsu
1,sent_144,w_144,A1,influence here now,1864,我的影响,影響するがいい,influir aquí ahora,grand influencer,influence here now,yǐngxiǎng hěn měi,anata no eikyou suru
1,sent_145,w_145,A1,my demonstrate,1416,证明不错,実証するは古い,viejo demostrar,mon démontrer,my demonstrate,xiǎo zhèngmíng,jisshou suru wa chiisai
1,sent_146,w_146,A1,phenomenon here now,992,现象不错,現象は新しい,nuevo fenómeno,grand phénomène,phenomenon here now,dà xiànxiàng,anata no genshou
1,sent_147,w_147,A1,comprehensive very nice,1998,我的全面的,包括的は大きい,gran comprensivo,compréhensif très bien,comprehensive very nice,wǒ de quánmiàn de,houkatsuteki wa ōkii
1,sent_148,w_148,A1,I like fundamental,854,新基本的,基本的を食べる,tu fundamental,votre fondamental,I like fundamental,wǒ de jīběn de,kihonteki wa atarashii
1,sent_149,w_149,A1,new constitute,1898,大构成,構成するがいい,nuevo constituir,j'aime constituer,new constitute,nǐ de gòuchéng,kousei suru wa furui
1,sent_150,w_150,A1,paradigm very nice,1399,小范式,パラダイムがいい,gran paradigma,paradigme ici maintenant,paradigm very nice,fànshì zài zhèlǐ,paradaimu ga arimasu
1,sent_151,w_151,A1,eat very nice,1132,我喜欢吃,食べるがあります,comer aquí ahora,nouveau manger,eat very nice,wǒ de chī,taberu wa ōkii
1,sent_152,w_152,A1,water very nice,1306,小水,水を食べる,me gusta agua,eau est bon,water very nice,nǐ de shuǐ,anata no mizu
1,sent_153,w_153,A1,my house,1264,房子很美,私の家,gran casa,maison ici maintenant,my house,dà fángzi,ie wa ōkii
1,sent_154,w_154,A1,I like big,1591,你的大,大きいを食べる,tu grande,nouveau grand,I like big,wǒ xǐhuān dà,ookii ga ii
1,sent_155,w_155,A1,small happy,1328,我的高兴,嬉しいです,me gusta feliz,grand heureux,small happy,gāoxìng zài zhèlǐ,ureshii ga arimasu
1,sent_156,w_156,A1,my book,1213,书很美,本は小さい,nuevo libro,mon livre,my book,wǒ xǐhuān shū,hon wa atarashii
1,sent_157,w_157,A1,old study,1335,小学习,勉強するがあります,mi estudiar,vieux étudier,old study,nǐ de xuéxí,watashi no benkyou suru
1,sent_158,w_158,A1,old beautiful,1926,你的美丽,美しいがいい,tu hermoso,mon beau,old beautiful,měilì bùcuò,watashi no utsukushii
1,sent_159,w_159,A1,I like important,1125,我的重要,あなたの重要,nuevo importante,votre important,I like important,dà zhòngyào,juuyou ga arimasu
1,sent_160,w_160,A1,big understand,953,我的理解,理解するがいい,gran entender,comprendre ici maintenant,big understand,xiǎo lǐjiě,rikai suru wa ōkii
1,sent_161,w_161,A1,environment here now,1029,环境不错,環境がいい,nuevo medio ambiente,environnement très bien,environment here now,huánjìng hěn hǎo,kankyou wa furui
1,sent_162,w_162,A1,old develop,1085,新发展,発展するがあります,nuevo desarrollar,mon développer,old develop,dà fāzhǎn,watashi no hatten suru
1,sent_163,w_163,A1,your society,1181,新社会,社会があります,sociedad muy bien,vieux société,your society,shèhuì zài zhèlǐ,shakai wa chiisai
1,sent_164,w_164,A1,culture very nice,952,文化很好,文化は古い,viejo cultura,culture ici maintenant,culture very nice,nǐ de wénhuà,bunka wo taberu
1,sent_165,w_165,A1,big experience,1002,小经验,経験です,tu experiencia,petit expérience,big experience,nǐ de jīngyàn,anata no keiken
1,sent_166,w_166,A1,new significant,1648,重要的不错,重要なは大きい,pequeño significativo,vieux significatif,new significant,zhòngyào de bùcuò,juuyou na desu
1,sent_167,w_167,A1,big analyze,1475,分析很美,分析するは大きい,tu analizar,nouveau analyser,big analyze,fēnxī zài zhèlǐ,anata no bunseki suru
1,sent_168,w_168,A1,old complex,862,大复杂,複雑があります,complejo aquí ahora,nouveau complexe,old complex,wǒ de fùzá,fukuzatsu wa furui
1,sent_169,w_169,A1,I like influence,1019,大影响,影響するは古い,influir muy bien,grand influencer,I like influence,yǐngxiǎng bùcuò,watashi no eikyou suru
1,sent_170,w_170,A1,old demonstrate,953,大证明,実証するです,demostrar muy bien,vieux démontrer,old demonstrate,zhèngmíng zài zhèlǐ,jisshou suru ga ii
1,sent_171,w_171,A1,big phenomenon,1010,现象不错,現象です,tu fenómeno,phénomène très bien,big phenomenon,xīn xiànxiàng,genshou ga arimasu
1,sent_172,w_172,A1,comprehensive very nice,1976,全面的很美,包括的は古い,comprensivo aquí ahora,mon compréhensif,comprehensive very nice,quánmiàn de hěn hǎo,houkatsuteki wa furui
1,sent_173,w_173,A1,fundamental very nice,1522,基本的在这里,基本的は古い,me gusta fundamental,nouveau fondamental,fundamental very nice,jīběn de hěn hǎo,kihonteki wa chiisai
1,sent_174,w_174,A1,old constitute,1551,小构成,構成するです,constituir aquí ahora,constituer ici maintenant,old constitute,gòuchéng bùcuò,kousei suru wo taberu
1,sent_175,w_175,A1,paradigm here now,1639,大范式,パラダイムがあります,paradigma muy bien,mon paradigme,paradigm here now,wǒ de fànshì,watashi no paradaimu
1,sent_176,w_176,A1,I like eat,1958,我的吃,食べるがあります,me gusta comer,manger est bon,I like eat,chī zài zhèlǐ,taberu wa chiisai
1,sent_177,w_177,A1,water is good,1503,水很美,私の水,mi agua,grand eau,water is good,shuǐ zài zhèlǐ,mizu wa furui
1,sent_178,w_178,A1,house very nice,1397,房子很好,家があります,nuevo casa,mon maison,house very nice,xiǎo fángzi,ie desu
1,sent_179,w_179,A1,big big,1374,你的大,大きいは小さい,grande muy bien,mon grand,big big,xiǎo dà,ookii wo taberu
1,sent_180,w_180,A1,my happy,932,我喜欢高兴,嬉しいを食べる,pequeño feliz,vieux heureux,my happy,gāoxìng zài zhèlǐ,ureshii ga arimasu
1,sent_181,w_181,A1,your book,1879,我喜欢书,私の本,libro es bueno,votre livre,your book,shū hěn hǎo,anata no hon
1,sent_182,w_182,A1,your study,918,我的学习,勉強するは古い,viejo estudiar,j'aime étudier,your study,wǒ de xuéxí,watashi no benkyou suru
1,sent_183,w_183,A1,beautiful here now,1900,美丽不错,美しいがあります,me gusta hermoso,mon beau,beautiful here now,nǐ de měilì,anata no utsukushii
1,sent_184,w_184,A1,important is good,1068,重要不错,重要は大きい,pequeño importante,important très bien,important is good,xīn zhòngyào,juuyou wa atarashii
